y,U_0,U_1,U_2
0.0500679,43.661,-0.415951,1.97363e-19
0.05307,43.7162,-0.416817,2.18792e-19
0.0562894,43.7735,-0.414766,-1.23215e-19
0.0597436,43.8326,-0.409353,6.08646e-20
0.0634517,43.8929,-0.400133,4.07557e-20
0.0674339,43.9538,-0.386657,-1.12833e-19
0.0717118,44.0142,-0.368466,-3.90525e-20
0.0763087,44.0726,-0.345192,-1.31048e-21
0.0812495,44.1275,-0.316517,-3.10481e-21
0.0865609,44.1766,-0.282274,-1.10579e-20
0.0922714,44.2144,-0.246164,2.758e-20
0.0960782,44.2367,-0.216594,1.77848e-20
0.0992295,44.2498,-0.193083,2.51471e-21
0.101838,44.258,-0.173387,-9.41122e-21
0.103998,44.2628,-0.157029,-1.20675e-20
0.105786,44.2655,-0.14348,7.4178e-21
0.107266,44.2668,-0.132286,9.86122e-21
0.108492,44.2672,-0.123044,-1.88466e-20
0.109506,44.2672,-0.115414,-2.42184e-20
0.110346,44.267,-0.109117,-5.10203e-21
0.111042,44.2666,-0.103916,1.97973e-21
0.111618,44.2664,-0.0996197,-1.44668e-22
0.112095,44.2664,-0.0960678,-6.05499e-21
0.11249,44.2665,-0.093135,2.1485e-20
0.112817,44.2665,-0.0907138,-1.12905e-21
0.113087,44.2531,-0.0887786,-5.16639e-21
0.113312,44.0636,-0.0858904,1.18059e-20
0.113497,43.1246,-0.0756316,-1.74526e-21
0.113651,41.1606,-0.0562147,-2.41468e-22
0.113779,38.7198,-0.0372102,-5.52731e-21
0.113884,36.2582,-0.0241159,9.59084e-22
0.113971,33.8183,-0.015174,6.53463e-21
0.114044,31.3495,-0.00911111,5.56664e-22
0.114104,28.7429,-0.00516921,-5.62319e-22
0.114154,25.7957,-0.00274662,-3.14096e-21
0.114195,22.1365,-0.00135319,8.41179e-23
0.114229,17.2919,-0.000603213,2.26703e-21
0.114257,11.3763,-0.000227149,1.00671e-21
0.114281,5.41027,-5.39455e-05,-7.43958e-22
0.1143,0,0,0
