y,U_0,U_1,U_2
0,0,0,0
1.37955e-05,3.39757,6.46127e-05,3.24975e-23
2.92331e-05,7.04643,0.000345951,-9.76494e-21
4.65113e-05,10.9435,0.000912661,1.52059e-23
6.58528e-05,14.8632,0.00181446,-8.60111e-21
8.75077e-05,18.5409,0.00310358,1.46381e-20
0.000111757,21.8342,0.00483939,3.14082e-21
0.000138915,24.7527,0.00709649,-3.00155e-20
0.000169336,27.3754,0.0099668,1.35518e-20
0.000203417,29.7834,0.0135556,4.12309e-20
0.000241604,32.0381,0.0179754,-3.05111e-20
0.000284398,34.1778,0.0233347,1.50921e-20
0.000332361,36.2183,0.0297048,1.32968e-19
0.000386126,38.1445,0.0370236,-6.31102e-20
0.000446401,39.8884,0.0448249,-1.22844e-19
0.000513985,41.3048,0.0518199,2.10537e-19
0.000589773,42.2339,0.0562491,-1.03024e-20
0.000674771,42.6772,0.0575125,-1.16877e-19
0.000770111,42.8235,0.0566707,-9.31357e-20
0.000877061,42.8595,0.0549485,1.00513e-19
0.000997051,42.8699,0.0528661,-6.22795e-20
0.00113168,42.8769,0.050533,-1.84739e-19
0.00128277,42.8842,0.0479449,1.51348e-20
0.00145232,42.8918,0.0450714,-3.22905e-19
0.00164263,42.9003,0.0418777,2.16996e-19
0.00185625,42.9097,0.0383334,1.73556e-19
0.00209606,42.9191,0.0343882,-1.14547e-19
0.0023653,42.9276,0.0299906,2.77834e-19
0.0026676,42.9345,0.0251004,2.03224e-20
0.00300706,42.9391,0.0196621,-1.65778e-19
0.00338828,42.9411,0.0136169,0
0.00381642,42.9401,0.0068865,2.76375e-19
0.0042973,42.9363,-0.000621297,2.99619e-20
0.00483747,42.931,-0.00901097,-4.31806e-19
0.00544427,42.9267,-0.0180113,-2.69263e-19
0.00602098,42.9246,-0.0270689,-6.44791e-22
0.00660124,42.9235,-0.0360641,1.06049e-19
0.00718535,42.9225,-0.0451168,3.4285e-19
0.00777365,42.9212,-0.0542478,6.21725e-21
0.00836651,42.9194,-0.063472,-2.9148e-19
0.00896431,42.9169,-0.0728173,1.5018e-19
0.00956749,42.9136,-0.0823118,1.28715e-19
0.0101765,42.9101,-0.0919836,-3.50785e-20
0.0107919,42.9086,-0.101835,-2.17226e-21
0.0114142,42.9131,-0.111802,3.37633e-20
0.012044,42.9272,-0.121737,-3.61907e-19
0.0126819,42.9494,-0.131502,-1.11849e-20
0.0133287,42.9734,-0.141081,8.86039e-19
0.0139851,42.9938,-0.15036,5.3406e-19
0.0145992,43.0094,-0.159363,-5.20411e-19
0.0152409,43.0233,-0.168361,-5.19031e-19
0.0159119,43.037,-0.177557,4.16615e-19
0.016614,43.0504,-0.186992,4.13711e-19
0.0173491,43.0637,-0.196654,-3.75543e-19
0.018119,43.0772,-0.206553,-1.11125e-18
0.0189258,43.0906,-0.216683,-4.02542e-19
0.0197718,43.1041,-0.227052,3.37518e-19
0.0206593,43.1177,-0.23765,6.29481e-19
0.0215907,43.1315,-0.248473,1.24619e-18
0.0225687,43.1461,-0.259491,-5.03097e-19
0.023596,43.1619,-0.270654,-1.12141e-18
0.0246755,43.1802,-0.282354,5.45163e-21
0.0259626,43.202,-0.294829,2.0516e-19
0.0273361,43.2268,-0.307702,6.189e-19
0.0288025,43.2536,-0.320636,-1.46762e-19
0.030369,43.2829,-0.333492,-5.64961e-19
0.0320431,43.3147,-0.346161,3.40245e-19
0.033833,43.349,-0.358483,-1.0725e-19
0.0357475,43.3857,-0.370238,-1.89925e-19
0.0377646,43.4248,-0.381172,3.04351e-19
0.0399122,43.4665,-0.39111,-2.42019e-19
0.0422027,43.5109,-0.399839,-1.5862e-19
0.0446494,43.5581,-0.407099,1.51866e-19
0.0472662,43.6082,-0.412582,-6.77041e-20
