y,U_0,U_1,U_2
0,0,0,0
1.16106e-05,-4.44137,0.000877618,0
2.56565e-05,-8.91097,0.000116517,0
4.26602e-05,-13.4593,-0.00381168,8.13239e-21
6.32576e-05,-17.8604,-0.0131021,-3.63276e-22
8.82233e-05,-21.8235,-0.0309696,2.55432e-20
0.000118501,-25.0689,-0.0609833,1.54006e-21
0.00015524,-27.4116,-0.10632,-9.27797e-20
0.000199841,-28.8157,-0.169367,1.15598e-19
0.000254011,-29.4023,-0.252058,-3.05732e-20
0.000319833,-29.3995,-0.356819,-1.20288e-19
0.000399843,-29.0527,-0.48705,2.33808e-19
0.000497136,-28.5642,-0.647824,2.61724e-20
0.000615486,-28.0333,-0.845954,-1.00047e-19
0.000759498,-27.4611,-1.09088,-1.41157e-20
0.000934787,-26.8211,-1.39565,-2.0759e-20
0.00114821,-26.0752,-1.77553,1.47847e-20
0.00140812,-25.1791,-2.24926,0
0.00172472,-24.0837,-2.84441,0
0.00211046,-22.7241,-3.60566,-3.17838e-20
0.00258055,-21.0008,-4.59652,2.45204e-20
0.00315353,-18.7587,-5.89768,9.99159e-19
0.00385204,-15.7522,-7.63056,5.32879e-19
0.00470373,-11.6156,-9.98786,-8.60288e-19
0.00574233,-6.49503,-12.8653,-5.88286e-19
0.00657366,-1.30948,-15.6958,-1.12205e-18
0.00729408,3.36898,-18.1375,1.10319e-20
0.0079201,7.52355,-20.1804,8.9924e-19
0.00846603,11.1995,-21.8439,-2.34673e-20
0.00894425,14.4663,-23.1752,2.15526e-20
0.00936552,17.3822,-24.2217,1.86574e-18
0.00973924,19.9934,-25.0321,3.94717e-20
0.0100736,22.3459,-25.6522,-2.76116e-18
0.010376,24.4831,-26.1213,1.76807e-18
0.0106528,26.4242,-26.4658,2.96744e-20
0.0108964,28.1643,-26.7082,-8.13204e-19
0.0111152,29.7244,-26.8729,8.14358e-19
0.0113126,31.1399,-26.9782,-4.97569e-19
0.0114918,32.4342,-27.0376,-2.8814e-21
0.0116552,33.6274,-27.0612,-1.00875e-18
0.0118052,34.7367,-27.0568,1.1104e-20
0.0119436,35.7764,-27.0298,5.09672e-19
0.012072,36.7583,-26.9846,-9.02331e-21
0.0121919,37.6921,-26.924,0
0.0123044,38.5854,-26.8502,-2.22997e-19
0.0124107,39.4447,-26.765,1.22295e-19
0.0125116,40.2751,-26.6706,2.83562e-19
0.0126078,41.081,-26.5656,-1.21615e-19
0.0127,41.8588,-26.4482,-1.13902e-19
0.0127846,42.628,-26.3259,-2.47849e-21
0.0128776,43.4273,-26.1876,2.48683e-19
0.0129804,44.2706,-26.0149,3.99091e-21
0.0130945,45.1607,-25.8035,-9.62869e-21
0.0132214,46.1007,-25.5456,-4.43688e-21
0.0133634,47.091,-25.2307,-8.25595e-19
0.0135229,48.1292,-24.8458,-3.30945e-19
0.0137028,49.2066,-24.3764,9.215e-19
0.0139066,50.3077,-23.807,3.21881e-19
0.0141385,51.4083,-23.1224,2.42687e-19
0.0144035,52.4752,-22.3095,-4.79155e-19
0.0147076,53.4678,-21.3605,-7.04958e-20
0.0150582,54.3479,-20.2627,5.63604e-19
0.0154839,55.0624,-19.017,-4.2127e-19
0.0159788,55.5683,-17.6588,-3.7938e-20
0.0165559,55.8377,-16.2261,1.50522e-21
0.0172308,55.8538,-14.7574,-4.94428e-19
0.0180222,55.6289,-13.3002,-4.19487e-19
0.0189526,55.19,-11.8988,1.04331e-18
0.0200493,54.5823,-10.5898,4.06263e-19
0.0213448,53.8598,-9.39795,-5.67873e-19
0.0228785,53.0782,-8.33333,0
0.0246978,52.2886,-7.39305,-1.11829e-19
0.0268599,51.5316,-6.56336,-5.22074e-21
0.0294337,50.8349,-5.82519,1.62698e-19
0.0325023,50.2136,-5.15803,-4.70343e-20
0.0361662,49.6734,-4.54378,-2.80039e-20
0.0405466,49.2123,-3.96688,2.76668e-20
0.0457897,48.8259,-3.41668,-4.28517e-20
0.0520723,48.5161,-2.90357,1.72223e-20
0.058149,48.2906,-2.46398,1.09861e-20
0.0642652,48.1257,-2.08255,6.18893e-24
0.070424,48.0011,-1.73992,-5.65149e-22
0.0766284,47.9049,-1.42486,9.36484e-24
0.0829487,47.831,-1.13693,-4.39193e-22
0.0883767,47.7781,-0.895759,-4.94256e-21
0.0927677,47.7412,-0.702704,1.08617e-21
0.0964184,47.7143,-0.546156,6.25141e-21
0.0994537,47.6937,-0.417302,-8.92668e-23
0.101977,47.6773,-0.310748,-5.05854e-22
0.104075,47.664,-0.222402,-2.99443e-21
0.10582,47.653,-0.149058,7.32313e-21
0.10727,47.6439,-0.0881375,2.26791e-21
0.108476,47.6363,-0.0375419,-8.00028e-21
0.109478,47.6295,0.00442665,-3.1907e-21
0.110312,47.6233,0.0391951,5.61083e-22
0.111005,47.6176,0.0680379,8.2501e-21
0.111581,47.6124,0.091913,-9.22596e-22
0.11206,47.6071,0.111759,-5.77844e-21
0.112458,47.6009,0.128057,-3.79065e-21
0.11279,47.591,0.141683,1.19921e-21
0.113065,47.5467,0.152413,-1.58806e-21
0.113294,47.2377,0.157423,4.12454e-21
0.113484,46.0053,0.142484,6.87977e-21
0.113643,43.6279,0.106805,1.04308e-21
0.113774,40.8045,0.0734528,-5.41131e-21
0.113884,38.0328,0.0506223,-4.84986e-21
0.113975,35.3065,0.0342599,2.51115e-21
0.11405,32.5257,0.0226564,2.45561e-21
0.114113,29.5297,0.0144929,4.54627e-21
0.114165,26.0097,0.00874965,-1.54331e-21
0.114209,21.3502,0.00468315,-1.10232e-21
0.114245,14.9131,0.0019199,-3.38007e-21
0.114275,7.37103,0.000437389,-2.37038e-21
0.1143,0,0,0
