y,p
0,-519.51
1.16106e-05,-519.512
2.56565e-05,-519.516
4.26602e-05,-519.522
6.32576e-05,-519.535
8.82233e-05,-519.561
0.000118501,-519.607
0.00015524,-519.688
0.000199841,-519.819
0.000254011,-520.023
0.000319833,-520.331
0.000399843,-520.789
0.000497136,-521.459
0.000615486,-522.433
0.000759498,-523.856
0.000934787,-525.938
0.00114821,-528.975
0.00140812,-533.363
0.00172472,-539.657
0.00211046,-548.737
0.00258055,-561.932
0.00315353,-580.843
0.00385204,-607.278
0.00470373,-644.212
0.00574233,-690.704
0.00657366,-737.77
0.00729408,-779.706
0.0079201,-816.69
0.00846603,-848.66
0.00894425,-875.541
0.00936552,-897.415
0.00973924,-914.582
0.0100736,-927.536
0.010376,-936.836
0.0106528,-942.855
0.0108964,-945.87
0.0111152,-946.331
0.0113126,-944.726
0.0114918,-941.43
0.0116552,-936.742
0.0118052,-930.909
0.0119436,-924.131
0.012072,-916.569
0.0121919,-908.349
0.0123044,-899.568
0.0124107,-890.318
0.0125116,-880.698
0.0126078,-870.69
0.0127,-860.278
0.0127846,-849.549
0.0128776,-838.497
0.0129804,-827.109
0.0130945,-815.382
0.0132214,-803.203
0.0133634,-790.419
0.0135229,-776.826
0.0137028,-762.162
0.0139066,-746.111
0.0141385,-728.304
0.0144035,-708.325
0.0147076,-685.729
0.0150582,-659.763
0.0154839,-629.795
0.0159788,-595.899
0.0165559,-558.37
0.0172308,-517.579
0.0180222,-474.217
0.0189526,-429.298
0.0200493,-384.02
0.0213448,-339.681
0.0228785,-297.493
0.0246978,-258.429
0.0268599,-223.139
0.0294337,-191.927
0.0325023,-164.806
0.0361662,-141.594
0.0405466,-121.966
0.0457897,-105.622
0.0520723,-92.6746
0.058149,-83.4217
0.0642652,-76.7826
0.070424,-71.9012
0.0766284,-68.2939
0.0829487,-65.7124
0.0883767,-64.0498
0.0927677,-63.0246
0.0964184,-62.3724
0.0994537,-61.9387
0.101977,-61.636
0.104075,-61.4127
0.10582,-61.2387
0.10727,-61.097
0.108476,-60.9781
0.109478,-60.8768
0.110312,-60.79
0.111005,-60.7156
0.111581,-60.6522
0.11206,-60.5978
0.112458,-60.5522
0.11279,-60.5135
0.113065,-60.4815
0.113294,-60.4553
0.113484,-60.4375
0.113643,-60.4215
0.113774,-60.4056
0.113884,-60.3959
0.113975,-60.3868
0.11405,-60.3781
0.114113,-60.3703
0.114165,-60.3639
0.114209,-60.3595
0.114245,-60.3573
0.114275,-60.3563
0.1143,-60.356
