y,p
0,42.1594
1.37955e-05,42.16
2.92331e-05,42.1603
4.65113e-05,42.1606
6.58528e-05,42.1612
8.75077e-05,42.1621
0.000111757,42.1637
0.000138915,42.1658
0.000169336,42.1685
0.000203417,42.1715
0.000241604,42.1748
0.000284398,42.1782
0.000332361,42.1813
0.000386126,42.184
0.000446401,42.1857
0.000513985,42.1862
0.000589773,42.1855
0.000674771,42.184
0.000770111,42.1819
0.000877061,42.1793
0.000997051,42.1762
0.00113168,42.1722
0.00128277,42.1673
0.00145232,42.1612
0.00164263,42.1537
0.00185625,42.1443
0.00209606,42.1328
0.0023653,42.1185
0.0026676,42.1009
0.00300706,42.0789
0.00338828,42.0518
0.00381642,42.0182
0.0042973,41.9765
0.00483747,41.9249
0.00544427,41.8638
0.00602098,41.7967
0.00660124,41.7246
0.00718535,41.6464
0.00777365,41.562
0.00836651,41.4714
0.00896431,41.3744
0.00956749,41.2708
0.0101765,41.1605
0.0107919,41.0431
0.0114142,40.9185
0.012044,40.7864
0.0126819,40.6466
0.0133287,40.4993
0.0139851,40.3475
0.0145992,40.1938
0.0152409,40.0328
0.0159119,39.859
0.016614,39.6714
0.0173491,39.4689
0.018119,39.2502
0.0189258,39.014
0.0197718,38.7589
0.0206593,38.4834
0.0215907,38.1857
0.0225687,37.8643
0.023596,37.5173
0.0246755,37.1289
0.0259626,36.678
0.0273361,36.17
0.0288025,35.6129
0.030369,35.0026
0.0320431,34.3351
0.033833,33.6062
0.0357475,32.8154
0.0377646,31.9643
0.0399122,31.0491
0.0422027,30.0651
0.0446494,29.01
0.0472662,27.8832
0.0500679,26.6856
0.05307,25.4206
0.0562894,24.0944
0.0597436,22.7168
0.0634517,21.3018
0.0674339,19.8685
0.0717118,18.4422
0.0763087,17.0552
0.0812495,15.7477
0.0865609,14.5699
0.0922714,13.6586
0.0960782,13.1202
0.0992295,12.8099
0.101838,12.6256
0.103998,12.5235
0.105786,12.4734
0.107266,12.4556
0.108492,12.4571
0.109506,12.4695
0.110346,12.4873
0.111042,12.5074
0.111618,12.5275
0.112095,12.5467
0.11249,12.5643
0.112817,12.58
0.113087,12.5939
0.113312,12.6067
0.113497,12.6177
0.113651,12.6194
0.113779,12.6122
0.113884,12.6039
0.113971,12.5957
0.114044,12.5881
0.114104,12.5816
0.114154,12.5768
0.114195,12.5739
0.114229,12.5726
0.114257,12.5722
0.114281,12.572
0.1143,12.572
